	ArticleNo	RawParagraph	Prediction
1404	1.0	"Αποστολή
Αποστολή της Σχολής Μονίμων Υπαξιωματικών (ΣΜΥ) 
είναι η:"	RespA
1405	1.0	"1. Παροχή στους σπουδαστές ποιοτικής εκπαίδευσης 
τρίτου κύκλου σπουδών της χώρας και η καλλιέργεια 
παράλληλα του στρατιωτικού πνεύματος προσδίδοντας 
σ΄ αυτούς όλες τις στρατιωτικές αρετές και χαρακτηριστικά."	Org
1406	1.0	"2. Διατήρηση του ηθικού των σπουδαστών σε υψηλό 
επίπεδο και η βελτίωση συνεχώς της εικόνας και του 
κύρους της σχολής και του σώματος των μονίμων υπαξιωματικών γενικότερα."	Org
1407	1.0	"3. Απόδοση στο Στρατό Ξηράς (ΣΞ), διοικητικών και 
τεχνικών μονίμων υπαξιωματικών, ικανών να ανταποκρίνονται στις απαιτήσεις των σύγχρονων ελληνικών Ενόπλων Δυνάμεων (ΕΔ) και να εργάζονται και επιχειρούν 
σ΄ ένα διακλαδικό, ευρωπαϊκό και διεθνές περιβάλλον."	Org
1408	2.0	"Υπαγωγή
1. H σχολή υπάγεται διοικητικά στο ΓΕΣ."	Org
1409	2.0	"2. Για θέματα διοικητικής μέριμνας (ΔΜ), πληροφοριών 
και ασφάλειας, υπάγεται στον προϊστάμενο Σχηματισμό, 
στην περιοχή ευθύνης (ΠΕ), του οποίου εδρεύει."	Org
1410	3.0	"Οργάνωση
1. Είναι ανώτερη στρατιωτική σχολή της τριτοβάθμιας 
εκπαίδευσης με τίτλο Σχολή Μονίμων Υπαξιωματικών 
(ΣΜΥ), επιπέδου Ταξιαρχίας και διοικείται από Ταξίαρχο."	Org
1411	3.0	"2. Η ΣΜΥ είναι ετοιμότητας Α΄ με γενικό ποσοστό 
επάνδρωσης στην ειρήνη 100% και διαρθρώνεται ως 
εξής:"	Org
1412	3.0	α. Διοίκηση.	Org
1413	3.0	β. Διεύθυνση Σπουδών.	Org
1414	3.0	"γ. Διεύθυνση Προσωπικού και Διοικητικής Μέριμνας 
(ΔΜ)."	Org
1415	3.0	δ. Γραφείο Επιχειρήσεων και Ασφαλείας.	Org
1416	3.0	ε. Γραφείο Έρευνας και Πληροφορικής (ΓΕΠ).	Org
1417	3.0	στ. Γραφείο Δημοσίων Σχέσεων – Εθιμοτυπίας.	Org
1418	3.0	ζ. Τάγματα Σπουδαστών ανάλογα με τη δύναμη.	Org
1419	3.0	η. Λόχο Διοικήσεως (Λ/Δ).	Org
1420	3.0	"3. Η σχολή διαθέτει Έμβλημα Σχολής, όπως το Παράρτημα «Α» του παρόντος και απονέμει Πτυχίο Σχολής, 
όπως το Παράρτημα «Β» του παρόντος."	Irrelevant
1421	3.0	"4. Η λεπτομερής οργάνωση της σχολής ρυθμίζεται 
από τον αντίστοιχο Πίνακα Οργάνωσης Υλικού (ΠΟΥ), 
σύμφωνα με το οργανόγραμμα της σχολής, το οποίο 
καθορίζεται ως εξής:"	Irrelevant
